Player,Goalkeeper,Centre Back,Left Back/Left Wing Back,Right Back/Right Wing Back,Left Wing,Right Wing,Centre Midfield,Attacking Midfield,Left Wide Forward,Right Wide Forward,Centre Forward
F. de Jong,0,413,0,0,0,0,2154,42,0,0,0
L. Messi,0,0,0,0,0,297,0,185,0,326,1657
Jordi Alba,0,6,2396,0,0,0,0,0,0,0,0
M. ter Stegen,2210,0,0,0,0,0,0,0,0,0,0
C. Lenglet,0,2023,15,0,0,0,0,0,0,0,0
Pedri,0,0,0,0,284,83,1255,306,71,0,0
A. Griezmann,0,0,0,0,19,314,44,293,618,52,640
Sergio Busquets,0,2,0,0,0,0,1902,0,0,0,0
S. Dest,0,0,152,1493,0,0,0,0,0,0,0
Óscar Mingueza,0,1004,0,574,0,0,0,0,0,0,0
O. Dembélé,0,0,0,0,258,401,0,0,119,475,237
M. Braithwaite,0,0,0,0,203,0,0,0,270,19,714
R. Araújo,0,1101,0,0,0,0,0,0,0,0,0
Gerard Piqué,0,983,0,0,0,0,0,0,0,0,6
Philippe Coutinho,0,0,0,0,294,30,161,216,0,0,0
Sergi Roberto,0,0,0,638,0,0,62,0,0,0,0
Francisco Trincão,0,0,0,52,47,348,0,0,16,223,0
M. Pjanić,0,0,0,0,0,0,665,0,0,0,0
Neto,582,0,0,0,0,0,0,0,0,0,0
S. Umtiti,0,529,0,0,0,0,0,0,0,0,0
Ansu Fati,0,0,0,0,322,0,0,0,0,0,131
Junior Firpo,0,13,209,44,0,0,0,0,0,0,0
Riqui Puig,0,0,11,0,10,0,139,74,0,0,0
Ilaix,0,0,0,0,0,0,163,23,0,0,0
